labels,timestamp,value
{consumergroup=default},1702333355,0
{consumergroup=default},1702333360,0
{consumergroup=default},1702333365,0
{consumergroup=default},1702333370,0
{consumergroup=default},1702333375,1136787
{consumergroup=default},1702333380,1136787
{consumergroup=default},1702333385,1136787
{consumergroup=default},1702333390,2155072
{consumergroup=default},1702333395,2155072
{consumergroup=default},1702333400,2155072
{consumergroup=default},1702333405,2894545
{consumergroup=default},1702333410,2894545
{consumergroup=default},1702333415,2894545
{consumergroup=default},1702333420,3303317
{consumergroup=default},1702333425,3303317
{consumergroup=default},1702333430,3303317
{consumergroup=default},1702333435,3792242
{consumergroup=default},1702333440,3792242
{consumergroup=default},1702333445,3792242
