labels,timestamp,value
{consumergroup=output-group},1702136475,0
{consumergroup=output-group},1702136480,0
{consumergroup=output-group},1702136485,0
{consumergroup=output-group},1702136490,0
{consumergroup=output-group},1702136495,889
{consumergroup=output-group},1702136500,889
{consumergroup=output-group},1702136505,889
{consumergroup=output-group},1702136510,1053
{consumergroup=output-group},1702136515,1053
{consumergroup=output-group},1702136520,1053
{consumergroup=output-group},1702136525,739
{consumergroup=output-group},1702136530,739
{consumergroup=output-group},1702136535,739
{consumergroup=output-group},1702136540,1116
{consumergroup=output-group},1702136545,1116
{consumergroup=output-group},1702136550,1116
{consumergroup=output-group},1702136555,1435
{consumergroup=output-group},1702136560,1435
{consumergroup=output-group},1702136565,1435
