labels,timestamp,value
{consumergroup=default},1702209276,0
{consumergroup=default},1702209281,0
{consumergroup=default},1702209286,0
{consumergroup=default},1702209291,1743868
{consumergroup=default},1702209296,1743868
{consumergroup=default},1702209301,1743868
{consumergroup=default},1702209306,4461075
{consumergroup=default},1702209311,4461075
{consumergroup=default},1702209316,4461075
{consumergroup=default},1702209321,6585683
{consumergroup=default},1702209326,6585683
{consumergroup=default},1702209331,6585683
{consumergroup=default},1702209336,8204080
{consumergroup=default},1702209341,8204080
{consumergroup=default},1702209346,8204080
{consumergroup=default},1702209351,9805436
{consumergroup=default},1702209356,9805436
{consumergroup=default},1702209361,9805436
{consumergroup=default},1702209366,11404003
