labels,timestamp,value
{consumergroup=default},1702215861,1289616
{consumergroup=default},1702215866,1289616
{consumergroup=default},1702215871,1289616
{consumergroup=default},1702215876,1690716
{consumergroup=default},1702215881,1690716
{consumergroup=default},1702215886,1690716
{consumergroup=default},1702215891,1537123
{consumergroup=default},1702215896,1537123
{consumergroup=default},1702215901,1537123
{consumergroup=default},1702215906,1151749
{consumergroup=default},1702215911,1151749
{consumergroup=default},1702215916,1151749
{consumergroup=default},1702215921,670154
{consumergroup=default},1702215926,670154
